,Year,Artist,Song,Language,Final,Points,Semi,Points SF
0,1961,Laila Kinnunen,"""Valoa ikkunassa""",Finnish,10,6,No semi-finals,No semi-finals
1,1962,Marion Rung,"""Tipi-tii""",Finnish,7,4,No semi-finals,No semi-finals
2,1963,Laila Halme,"""Muistojeni laulu""",Finnish,13 ◁,0,No semi-finals,No semi-finals
3,1964,Lasse Mårtenson,"""Laiskotellen""",Finnish[a],7,9,No semi-finals,No semi-finals
4,1965,Viktor Klimenko,"""Aurinko laskee länteen""",Finnish,15 ◁,0,No semi-finals,No semi-finals
5,1966,Ann-Christine,"""Playboy""",Finnish,10,7,No semi-finals,No semi-finals
6,1967,Fredi,"""Varjoon – suojaan""",Finnish,12,3,No semi-finals,No semi-finals
7,1968,Kristina Hautala,"""Kun kello käy""",Finnish,16 ◁,1,No semi-finals,No semi-finals
8,1969,Jarkko and Laura,"""Kuin silloin ennen""",Finnish,12,6,No semi-finals,No semi-finals
9,1971,Markku Aro and Koivisto Sisters,"""Tie uuteen päivään""",Finnish,8,84,No semi-finals,No semi-finals
10,1972,Päivi Paunu and Kim Floor,"""Muistathan""",Finnish,12,78,No semi-finals,No semi-finals
11,1973,Marion Rung,"""Tom Tom Tom""",English,6,93,No semi-finals,No semi-finals
12,1974,Carita,"""Keep Me Warm""",English,13,4,No semi-finals,No semi-finals
13,1975,Pihasoittajat,"""Old Man Fiddle""",English,7,74,No semi-finals,No semi-finals
14,1976,Fredi and the Friends,"""Pump-Pump""",English,11,44,No semi-finals,No semi-finals
15,1977,Monica Aspelund,"""Lapponia""",Finnish,10,50,No semi-finals,No semi-finals
16,1978,Seija Simola,"""Anna rakkaudelle tilaisuus""",Finnish,18,2,No semi-finals,No semi-finals
17,1979,Katri Helena,"""Katson sineen taivaan""",Finnish,14,38,No semi-finals,No semi-finals
18,1980,Vesa-Matti Loiri,"""Huilumies""",Finnish,19 ◁,6,No semi-finals,No semi-finals
19,1981,Riki Sorsa,"""Reggae O.K.""",Finnish,16,27,No semi-finals,No semi-finals
20,1982,Kojo,"""Nuku pommiin""",Finnish,18 ◁,0,No semi-finals,No semi-finals
21,1983,Ami Aspelund,"""Fantasiaa""",Finnish,11,41,No semi-finals,No semi-finals
22,1984,Kirka,"""Hengaillaan""",Finnish,9,46,No semi-finals,No semi-finals
23,1985,Sonja Lumme,"""Eläköön elämä""",Finnish,9,58,No semi-finals,No semi-finals
24,1986,Kari,"""Never the End""",Finnish,15,22,No semi-finals,No semi-finals
25,1987,Vicky Rosti,"""Sata salamaa""",Finnish,15,32,No semi-finals,No semi-finals
26,1988,Boulevard,"""Nauravat silmät muistetaan""",Finnish,20,3,No semi-finals,No semi-finals
27,1989,Anneli Saaristo,"""La dolce vita""",Finnish,7,76,No semi-finals,No semi-finals
28,1990,Beat,"""Fri?""",Swedish,21 ◁,8,No semi-finals,No semi-finals
29,1991,Kaija,"""Hullu yö""",Finnish,20,6,No semi-finals,No semi-finals
30,1992,Pave,"""Yamma Yamma""",Finnish,23 ◁,4,No semi-finals,No semi-finals
31,1993,Katri Helena,"""Tule luo""",Finnish,17,20,Kvalifikacija za Millstreet,Kvalifikacija za Millstreet
32,1994,CatCat,"""Bye Bye Baby""","Finnish, English",22,11,No semi-finals,No semi-finals
33,1996,Jasmine,"""Niin kaunis on taivas""",Finnish,23 ◁,9,22,26
34,1998,Edea,"""Aava""",Finnish,15,22,No semi-finals,No semi-finals
35,2000,Nina Åström,"""A Little Bit""",English,18,18,No semi-finals,No semi-finals
36,2002,Laura,"""Addicted to You""",English,20,24,No semi-finals,No semi-finals
37,2004,Jari Sillanpää,"""Takes 2 to Tango""",English,Failed to qualify,Failed to qualify,14,51
38,2005,Geir Rönning,"""Why?""",English,Failed to qualify,Failed to qualify,18,50
39,2006,Lordi,"""Hard Rock Hallelujah""",English,1,292,1,292
40,2007,Hanna Pakarinen,"""Leave Me Alone""",English,17,53,Host country,Host country
41,2008,Teräsbetoni,"""Missä miehet ratsastaa""",Finnish,22,35,8,79
42,2009,Waldo's People,"""Lose Control""",English,25 ◁,22,12[b],42
43,2010,Kuunkuiskaajat,"""Työlki ellää""",Finnish,Failed to qualify,Failed to qualify,11,49
44,2011,Paradise Oskar,"""Da Da Dam""",English,21,57,3,103
45,2012,Pernilla,"""När jag blundar""",Swedish,Failed to qualify,Failed to qualify,12,41
46,2013,Krista Siegfrids,"""Marry Me""",English,24,13,9,64
47,2014,Softengine,"""Something Better""",English,11,72,3,97
48,2015,Pertti Kurikan Nimipäivät,"""Aina mun pitää""",Finnish,Failed to qualify,Failed to qualify,16 ◁,13
49,2016,Sandhja,"""Sing It Away""",English,Failed to qualify,Failed to qualify,15,51
50,2017,Norma John,"""Blackbird""",English,Failed to qualify,Failed to qualify,12,92
51,2018,Saara Aalto,"""Monsters""",English,25,46,10,108
52,2019,Darude feat. Sebastian Rejman,"""Look Away""",English,Failed to qualify,Failed to qualify,17 ◁,23
53,2020,Aksel,"""Looking Back""",English,Contest cancelled[c] X,Contest cancelled[c] X,Contest cancelled[c] X,Contest cancelled[c] X
54,2021,Blind Channel,"""Dark Side""",English,6,301,5,234
55,2022,The Rasmus,"""Jezebel""",English,21,38,7,162
56,2023,Käärijä,"""Cha Cha Cha""",Finnish,2,526,1,177
