,Year,Artist,Song,Language,Final,Points,Semi,Points SF
0,1958,Alice Babs,"""Lilla stjärna""",Swedish,4,10,No semi-finals,No semi-finals
1,1959,Brita Borg,"""Augustin""",Swedish,9,4,No semi-finals,No semi-finals
2,1960,Siw Malmkvist,"""Alla andra får varann""",Swedish,10,4,No semi-finals,No semi-finals
3,1961,Lill-Babs,"""April, april""",Swedish,14,2,No semi-finals,No semi-finals
4,1962,Inger Berggren,"""Sol och vår""",Swedish,7,4,No semi-finals,No semi-finals
5,1963,Monica Zetterlund,"""En gång i Stockholm""",Swedish,13 ◁,0,No semi-finals,No semi-finals
6,1965,Ingvar Wixell,"""Absent Friend""",English,10,6,No semi-finals,No semi-finals
7,1966,Lill Lindfors and Svante Thuresson,"""Nygammal vals""",Swedish,2,16,No semi-finals,No semi-finals
8,1967,Östen Warnerbring,"""Som en dröm""",Swedish,8,7,No semi-finals,No semi-finals
9,1968,Claes-Göran Hederström,"""Det börjar verka kärlek, banne mig""",Swedish,5,15,No semi-finals,No semi-finals
10,1969,Tommy Körberg,"""Judy, min vän""",Swedish,9,8,No semi-finals,No semi-finals
11,1971,The Family Four,"""Vita vidder""",Swedish,6,85,No semi-finals,No semi-finals
12,1972,The Family Four,"""Härliga sommardag""",Swedish,13,75,No semi-finals,No semi-finals
13,1973,The Nova,"""You're Summer""",English,5,94,No semi-finals,No semi-finals
14,1974,ABBA,"""Waterloo""",English,1,24,No semi-finals,No semi-finals
15,1975,Lars Berghagen,"""Jennie, Jennie""",English,8,72,No semi-finals,No semi-finals
16,1977,Forbes,"""Beatles""",Swedish,18 ◁,2,No semi-finals,No semi-finals
17,1978,Björn Skifs,"""Det blir alltid värre framåt natten""",Swedish,14,26,No semi-finals,No semi-finals
18,1979,Ted,"""Satellit""",Swedish,17,8,No semi-finals,No semi-finals
19,1980,Tomas Ledin,"""Just nu""",Swedish,10,47,No semi-finals,No semi-finals
20,1981,Björn Skifs,"""Fångad i en dröm""",Swedish,10,50,No semi-finals,No semi-finals
21,1982,Chips,"""Dag efter dag""",Swedish,8,67,No semi-finals,No semi-finals
22,1983,Carola Häggkvist,"""Främling""",Swedish,3,126,No semi-finals,No semi-finals
23,1984,Herreys,"""Diggi-Loo Diggi-Ley""",Swedish,1,145,No semi-finals,No semi-finals
24,1985,Kikki Danielsson,"""Bra vibrationer""",Swedish,3,103,No semi-finals,No semi-finals
25,1986,Lasse Holm and Monica Törnell,"""E' de' det här du kallar kärlek""",Swedish,5,78,No semi-finals,No semi-finals
26,1987,Lotta Engberg,"""Boogaloo""",Swedish,12,50,No semi-finals,No semi-finals
27,1988,Tommy Körberg,"""Stad i ljus""",Swedish,12,52,No semi-finals,No semi-finals
28,1989,Tommy Nilsson,"""En dag""",Swedish,4,110,No semi-finals,No semi-finals
29,1990,Edin-Ådahl,"""Som en vind""",Swedish,16,24,No semi-finals,No semi-finals
30,1991,Carola,"""Fångad av en stormvind""",Swedish,1,146,No semi-finals,No semi-finals
31,1992,Christer Björkman,"""I morgon är en annan dag""",Swedish,22,9,No semi-finals,No semi-finals
32,1993,Arvingarna,"""Eloise""",Swedish,7,89,Kvalifikacija za Millstreet,Kvalifikacija za Millstreet
33,1994,Marie Bergman and Roger Pontare,"""Stjärnorna""",Swedish,13,48,No semi-finals,No semi-finals
34,1995,Jan Johansen,"""Se på mej""",Swedish,3,100,No semi-finals,No semi-finals
35,1996,One More Time,"""Den vilda""",Swedish,3,100,1,227
36,1997,Blond,"""Bara hon älskar mig""",Swedish,14,36,No semi-finals,No semi-finals
37,1998,Jill Johnson,"""Kärleken är""",Swedish,10,53,No semi-finals,No semi-finals
38,1999,Charlotte Nilsson,"""Take Me to Your Heaven""",English,1,163,No semi-finals,No semi-finals
39,2000,Roger Pontare,"""When Spirits Are Calling My Name""",English,7,88,No semi-finals,No semi-finals
40,2001,Friends,"""Listen to Your Heartbeat""",English,5,100,No semi-finals,No semi-finals
41,2002,Afro-dite,"""Never Let It Go""",English,8,72,No semi-finals,No semi-finals
42,2003,Fame,"""Give Me Your Love""",English,5,107,No semi-finals,No semi-finals
43,2004,Lena Philipsson,"""It Hurts""",English,5,170,Top 11 in 2003 contest[b],Top 11 in 2003 contest[b]
44,2005,Martin Stenmarck,"""Las Vegas""",English,19,30,Top 12 in 2004 final[b],Top 12 in 2004 final[b]
45,2006,Carola,"""Invincible""",English,5,170,4,214
46,2007,The Ark,"""The Worrying Kind""",English,18,51,Top 10 in 2006 final[b],Top 10 in 2006 final[b]
47,2008,Charlotte Perrelli,"""Hero""",English,18,47,12[c],54
48,2009,Malena Ernman,"""La Voix""","English, French",21,33,4,105
49,2010,Anna Bergendahl,"""This Is My Life""",English,Failed to qualify,Failed to qualify,11,62
50,2011,Eric Saade,"""Popular""",English,3,185,1,155
51,2012,Loreen,"""Euphoria""",English,1,372,1,181
52,2013,Robin Stjernberg,"""You""",English,14,62,Host country,Host country
53,2014,Sanna Nielsen,"""Undo""",English,3,218,2,131
54,2015,Måns Zelmerlöw,"""Heroes""",English,1,365,1,217
55,2016,Frans,"""If I Were Sorry""",English,5,261,Host country,Host country
56,2017,Robin Bengtsson,"""I Can't Go On""",English,5,344,3,227
57,2018,Benjamin Ingrosso,"""Dance You Off""",English,7,274,2,254
58,2019,John Lundvik,"""Too Late for Love""",English,5,334,3,238
59,2020,The Mamas,"""Move""",English,Contest cancelled[d] X,Contest cancelled[d] X,Contest cancelled[d] X,Contest cancelled[d] X
60,2021,Tusse,"""Voices""",English,14,109,7,142
61,2022,Cornelia Jakobs,"""Hold Me Closer""",English,4,438,1,396
62,2023,Loreen,"""Tattoo""",English,1,583,2,135
